id,name,identifier,definition,abbreviation,backgroundColor,textColor,children
2baa807b-36c0-4545-b7fb-31dc1337ac9a,Coordinate Transforms,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#CoordinateTransforms,,CoTr,#E55070,#FFFFFF,"76846ac0-3f76-49eb-b071-4b516b097ecf,f8fd35f5-1011-4202-abde-d5a0bae19f83,e53af44d-afba-4b33-8c14-fbc9415c9042,8c5d0afc-901e-4bda-a641-3181f91e22f1,e9a0f1b7-e735-46a9-89b7-8b49608428d5,9777f958-ffce-48be-81e0-dacbaf49b7cb"
2d508d2d-7523-4a94-80a5-67346cdd0dc5,Spectrogram,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Spectrogram,,Spec,#B8E5AC,#000000,
76846ac0-3f76-49eb-b071-4b516b097ecf,Heliospheric,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Heliospheric,,Heli,#E5ACB8,#000000,
f8fd35f5-1011-4202-abde-d5a0bae19f83,Ionospheric,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Ionospheric,,Iono,#E5ACB8,#000000,
e53af44d-afba-4b33-8c14-fbc9415c9042,Magnetospheric,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Magnetospheric,,Magn,#E5ACB8,#000000,
8c5d0afc-901e-4bda-a641-3181f91e22f1,Mission-Specific,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#MissionSpecific,,MiSp,#E5ACB8,#000000,
e9a0f1b7-e735-46a9-89b7-8b49608428d5,Planetary,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Planetary,,Plan,#E5ACB8,#000000,
9777f958-ffce-48be-81e0-dacbaf49b7cb,Solar,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Solar,,Sola,#E5ACB8,#000000,
065c9d2a-53fa-4990-bdd6-4d50fa50e7ef,2D Slices,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#TwoDSlices,,2DSl,#E5D9AC,#000000,
74afbe0b-0908-4703-8046-730855a2d4a1,3D Particle Distribution Processing,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ThreeDParticles,,3PDP,#E5D9AC,#000000,
df6a7b98-b424-4489-97d6-2b124d28413b,Analysis,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Analysis,,Anal,#E5D9AC,#000000,
0dc070e8-3593-4362-8002-7a206190c7bf,Calibration,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Calibration,,Cali,#E5D9AC,#000000,
af8c471e-4e6e-43fa-b554-de1a82464954,Curlometer,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Curlometer,,Curl,#E5D9AC,#000000,
e9793074-d918-49fd-82ce-ef23568b6f21,Data Access and Retrieval,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#DataAccessRetrieval,,DAAR,#E5D9AC,#000000,
c892ce25-dc53-4778-82fd-e7b10c782311,Data Assimilation,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#DataAssimilation,,DaAs,#E5D9AC,#000000,
b0579fc1-60d6-44c5-8713-009310b8d0dc,Data Reduction,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#DataReduction,,DaRe,#E5D9AC,#000000,
5b6959c8-a402-490d-aba1-4575411a71a8,Energy Spectra,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#EnergySpectra,,EnSp,#E5D9AC,#000000,
