legacy_uuid,legacy_name,legacy_identifier,legacy_type,ref_count,field,target_name,target_identifier,target_type,method,confidence,apply,relation_action,notes,software
fdd969f5-aade-46ad-8755-9d5fcb8c8838,Mars Atmosphere and Volatile EvolutioN (MAVEN),https://helio.data.nasa.gov/mission/MAVEN,Observatory,6,Observatories,Mars Atmosphere and Volatile EvolutioN,https://spase-metadata.org/SMWG/Observatory/MAVEN,Observatory,helio-bridge,high,yes,rewrite,,MavenPy; PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System); Speasy; maven_iuvs; vSWIM
eb08e164-0bb5-412b-9392-51c954c4ca0c,Parker Solar Probe (PSP),https://helio.data.nasa.gov/mission/ParkerSolarProbe,Observatory,6,Observatories,Parker Solar Probe,https://spase-metadata.org/SMWG/Observatory/ParkerSolarProbe,Observatory,helio-bridge,high,yes,rewrite,,PyGS; PySPEDAS; PyThea: A software package to reconstruct the 3D structure of CMEs and shock waves; SPEDAS (Space Physics Environment Data Analysis System); Speasy; SunPy
f83878d3-6810-46ce-baca-41796e0f7182,Solar Orbiter (SolO),https://helio.data.nasa.gov/mission/SolarOrbiter,Observatory,6,Observatories,Solar Orbiter,https://spase-metadata.org/ESA/Observatory/SolarOrbiter,Observatory,helio-bridge,high,yes,rewrite,,PyGS; PyRFU; PySPEDAS; Speasy; SunPy; sunraster
f2303707-aacd-412f-9dc5-c3145cc760d2,Magnetospheric Multiscale (MMS),https://helio.data.nasa.gov/mission/MMS,Observatory,5,Observatories,Magnetospheric Multiscale,https://spase-metadata.org/SMWG/Observatory/MMS,Observatory,helio-bridge,high,yes,rewrite,,AIDApy; PyRFU; PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System); Speasy
c64d5c90-9c02-4e3f-8b97-e4567667f1c3,Geostationary Operational Environmental Satellites (GOES),https://helio.data.nasa.gov/mission/GOES,Observatory,5,Observatories,Geostationary Operational Environmental Satellites,https://spase-metadata.org/SMWG/Observatory/GOES,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System); SolarProtons; SunPy; sunkit-instruments
237576ec-c018-4f47-ae4e-f9b9335160c4,Solar Terrestrial Relations Observatory (STEREO),https://helio.data.nasa.gov/mission/STEREO,Observatory,5,Observatories,Solar-Terrestrial Relations Observatory,https://spase-metadata.org/SMWG/Observatory/STEREO,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; PyThea: A software package to reconstruct the 3D structure of CMEs and shock waves; SPEDAS (Space Physics Environment Data Analysis System); SunPy; TomograPy
81642805-936a-425a-ba01-423b4fe19217,Advanced Composition Explorer (ACE),https://helio.data.nasa.gov/mission/ACE,Observatory,4,Observatories,Advanced Composition Explorer,https://spase-metadata.org/SMWG/Observatory/ACE,Observatory,helio-bridge,high,yes,rewrite,,PyGS; PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System); Speasy
ba7cb9df-c6f6-42fe-bd16-c1c6b44bd2bd,ISTP/Wind (Wind),https://helio.data.nasa.gov/mission/Wind,Observatory,4,Observatories,ISTP/Wind,https://spase-metadata.org/SMWG/Observatory/Wind,Observatory,helio-bridge,high,yes,rewrite,,PyGS; PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System); Speasy
dbddfed5-60b7-47ab-a35c-525368595e2f,Solar and Heliospheric Observatory (SOHO),https://helio.data.nasa.gov/mission/SOHO,Observatory,4,Observatories,Solar and Heliospheric Observatory,https://spase-metadata.org/SMWG/Observatory/SOHO,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; PyThea: A software package to reconstruct the 3D structure of CMEs and shock waves; SunPy; TomograPy
2e7fa775-3045-4fad-9552-a8349713e4ae,Poker Flat Research Range,,Observatory,3,Observatories,,,,manual,low,no,,no canonical name match,DASCutils; Digital Meridian Spectrometer; Scanning Doppler Interferometer
d20e37eb-4bb7-47c7-a6e6-1d8abc5bba1e,SuperDARN,https://helio.data.nasa.gov/mission/SuperDARN,Instrument,3,Instruments,SuperDARN,https://spase-metadata.org/SMWG/Observatory/SuperDARN,Observatory,helio-bridge,high,yes,move,TYPE Instrument->Observatory,GeospaceLAB; OCBpy; pyDARN
4330bc81-d0ef-434f-835e-21f0be0f7b29,Ionospheric Connection Explorer (ICON),https://helio.data.nasa.gov/mission/ICON,Observatory,3,Observatories,Ionospheric Connection,https://spase-metadata.org/SMWG/Observatory/ICON,Observatory,helio-bridge,high,yes,rewrite,,OMMBV; PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
f49a00c7-a4aa-40f5-9450-df891afb59f3,Time History of Events and Macroscale Interactions during Substorms (THEMIS),https://helio.data.nasa.gov/mission/THEMIS,Observatory,3,Observatories,Time History of Events and Macroscale Interactions during Substorms,https://spase-metadata.org/SMWG/Observatory/THEMIS,Observatory,helio-bridge,high,yes,rewrite,,PyAuroraX; PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
f4c499d2-6e01-468b-bc91-6d1032bb33c3,International Solar Polar Mission (Ulysses),https://helio.data.nasa.gov/mission/Ulysses,Observatory,3,Observatories,International Solar Polar Mission,https://spase-metadata.org/SMWG/Observatory/Ulysses,Observatory,helio-bridge,high,yes,rewrite,,PyGS; PySPEDAS; Speasy
39169f8f-1c18-4a04-bab5-293197bd4186,Cluster,https://helio.data.nasa.gov/mission/Cluster,Observatory,3,Observatories,Cluster,https://spase-metadata.org/SMWG/Observatory/Cluster,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System); Speasy
